bug, passed, discarded, elapsed
0, 1713, 18300, 00.49
0, 953, 7710, 00.22
0, 17, 850, 00.02
0, 1110, 8593, 00.24
0, 924, 5886, 00.17
0, 93, 1730, 00.04
0, 1058, 11063, 00.30
0, 5, 348, 00.01
0, 712, 10386, 00.27
0, 2483, 26851, 00.73
0, 689, 10067, 00.27
0, 868, 8698, 00.24
0, 1678, 19358, 00.52
0, 76, 4498, 00.11
0, 1947, 20310, 00.55
0, 642, 7097, 00.19
0, 1014, 13846, 00.37
0, 1699, 13472, 00.38
0, 1398, 15535, 00.42
0, 1935, 10085, 00.30
0, 1844, 21264, 00.58
0, 616, 8461, 00.23
0, 1827, 18149, 00.50
0, 1028, 10097, 00.28
0, 403, 6312, 00.17
0, 2457, 30604, 00.82
0, 1498, 13834, 00.38
0, 2380, 22747, 00.62
0, 855, 12296, 00.32
0, 1837, 25043, 00.66
1, 2561, 31293, 00.88
1,,,3600
1, 655, 6050, 00.17
1, 3490, 30557, 00.87
1,,,3600
1, 2430, 25814, 00.73
1,,,3600
1, 2719, 28604, 00.78
1, 1965, 27123, 00.74
1, 3242, 27227, 00.78
1,,,3600
1, 1720, 22463, 00.61
1, 2152, 20070, 00.57
1, 3246, 31387, 00.89
1, 3181, 25014, 00.71
1, 2731, 29585, 00.82
1,,,3600
1, 1983, 23626, 00.65
1, 142, 3464, 00.09
1, 3733, 34946, 01.00
1, 2017, 19127, 00.54
1,,,3600
1, 391, 4610, 00.13
1, 785, 11015, 00.30
1, 748, 7998, 00.22
1, 2105, 24103, 00.67
1,,,3600
1,,,3600
1, 2831, 24319, 00.71
1,,,3600
2, 2046, 19984, 00.60
2, 1130, 16831, 00.46
2, 1040, 12150, 00.37
2,,,3600
2, 2167, 18695, 00.56
2,,,3600
2, 732, 4911, 00.15
2,,,3600
2, 486, 4173, 00.12
2, 3538, 31842, 00.97
2, 3637, 34010, 01.03
2, 838, 5841, 00.17
2, 2074, 19121, 00.57
2, 1780, 18024, 00.55
2,,,3600
2,,,3600
2, 228, 7462, 00.23
2, 3048, 36818, 01.11
2, 1827, 17929, 00.53
2,,,3600
2, 690, 5999, 00.17
2, 2625, 25039, 00.76
2,,,3600
2,,,3600
2, 2809, 31948, 01.09
2, 3457, 32229, 00.97
2, 342, 5297, 00.15
2,,,3600
2,,,3600
2, 912, 9862, 00.30
3, 1584, 14317, 00.41
3, 1622, 16649, 00.47
3,,,3600
3, 337, 3640, 00.12
3, 2323, 23335, 00.66
3, 1370, 18763, 00.56
3, 541, 2385, 00.08
3, 3555, 33774, 00.96
3,,,3600
3,,,3600
3, 1897, 17567, 00.53
3, 577, 5400, 00.16
3, 3215, 25900, 00.78
3, 2690, 28951, 00.88
3,,,3600
3,,,3600
3, 4666, 45431, 01.38
3, 2743, 25861, 00.77
3,,,3600
3,,,3600
3, 727, 7996, 00.24
3,,,3600
3,,,3600
3, 831, 5845, 00.17
3,,,3600
3, 1389, 14928, 00.42
3, 3023, 33609, 00.94
3, 1317, 18705, 00.55
3,,,3600
3, 1141, 8966, 00.26
4, 2116, 20551, 00.62
4, 243, 2356, 00.07
4, 412, 3549, 00.11
4, 454, 6764, 00.22
4, 79, 1461, 00.04
4, 2491, 20081, 00.63
4, 1563, 20502, 00.60
4, 2965, 24042, 00.74
4, 3397, 31199, 00.89
4, 2549, 31205, 00.87
4,,,3600
4, 1549, 21566, 00.59
4, 2477, 26699, 00.81
4, 234, 3090, 00.09
4, 2192, 20002, 00.57
4, 1593, 13565, 00.41
4, 1809, 10754, 00.34
4, 2453, 30644, 00.84
4, 1630, 18819, 00.56
4, 2046, 17049, 00.52
4, 1130, 13752, 00.41
4, 1295, 19806, 00.54
4, 1811, 21080, 00.63
4, 1508, 11348, 00.33
4, 221, 4407, 00.12
4, 1480, 13121, 00.42
4,,,3600
4, 855, 12348, 00.36
4, 506, 4117, 00.13
4, 1940, 18872, 00.53
5,,,3600
5, 1454, 14810, 00.42
5,,,3600
5,,,3600
5, 1200, 12409, 00.35
5, 2053, 25436, 00.74
5, 721, 10893, 00.34
5, 1608, 16332, 00.48
5, 202, 3696, 00.10
5, 712, 9813, 00.30
5, 994, 6039, 00.21
5,,,3600
5, 1292, 12635, 00.37
5, 1143, 6910, 00.21
5, 814, 5247, 00.16
5, 723, 7760, 00.25
5, 527, 8218, 00.25
5, 166, 2418, 00.08
5,,,3600
5, 255, 3678, 00.12
5, 1681, 13972, 00.43
5, 1295, 9614, 00.29
5, 1308, 12695, 00.38
5, 1116, 11716, 00.35
5,,,3600
5, 200, 3530, 00.11
5,,,3600
5, 1505, 15504, 00.47
5,,,3600
5, 263, 1441, 00.04
6, 387, 4481, 00.15
6, 66, 1733, 00.05
6, 185, 4426, 00.12
6, 28, 1673, 00.06
6, 65, 2507, 00.07
6, 3, 337, 00.02
6, 94, 2481, 00.07
6, 2, 346, 00.01
6, 30, 490, 00.01
6, 2, 516, 00.01
6, 437, 5202, 00.15
6, 85, 1432, 00.06
6, 2, 333, 00.01
6, 465, 5430, 00.18
6, 2, 857, 00.02
6, 35, 826, 00.04
6, 3673, 36627, 01.11
6, 309, 3258, 00.12
6, 137, 4774, 00.15
6, 284, 2533, 00.07
6, 287, 6357, 00.18
6, 302, 3866, 00.12
6, 91, 2723, 00.08
6, 2, 1183, 00.03
6, 2, 513, 00.01
6, 1254, 17702, 00.53
6, 2, 2, 00.00
6, 663, 11333, 00.32
6, 1706, 16481, 00.50
6, 2, 1099, 00.03
7, 118, 3741, 00.12
7, 972, 9789, 00.29
7, 473, 5928, 00.17
7, 198, 4684, 00.13
7, 2247, 27242, 00.83
7, 4, 334, 00.01
7, 58, 1735, 00.05
7, 85, 1451, 00.05
7, 63, 1732, 00.05
7, 3, 339, 00.01
7, 128, 3443, 00.10
7, 174, 1371, 00.04
7, 1607, 21963, 00.64
7, 1701, 21558, 00.64
7, 2, 0, 00.00
7, 703, 7485, 00.22
7, 425, 4436, 00.13
7, 86, 3833, 00.11
7, 44, 1826, 00.07
7, 180, 3651, 00.12
7, 237, 4378, 00.14
7, 457, 8238, 00.25
7, 296, 5349, 00.15
7, 2, 0, 00.00
7, 112, 2699, 00.08
7, 2, 514, 00.01
7, 38, 812, 00.02
7, 36, 1486, 00.04
7, 200, 1583, 00.05
7, 428, 5215, 00.15
8,,,3600
8, 1037, 8745, 00.28
8,,,3600
8,,,3600
8,,,3600
8,,,3600
8,,,3600
8,,,3600
8,,,3600
8, 1508, 20537, 00.58
8,,,3600
8, 1624, 10212, 00.33
8, 1740, 18448, 00.53
8,,,3600
8, 513, 7189, 00.21
8, 1819, 18731, 00.55
8, 2252, 24898, 00.71
8, 1325, 13554, 00.39
8, 1170, 9904, 00.30
8,,,3600
8,,,3600
8,,,3600
8,,,3600
8, 1448, 15789, 00.46
8,,,3600
8,,,3600
8, 2022, 15962, 00.50
8,,,3600
8,,,3600
8,,,3600
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9, 1202, 16646, 00.48
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9, 1251, 11835, 00.34
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9,,,3600
9, 732, 8434, 00.26
9,,,3600
9,,,3600
9,,,3600
9, 813, 5299, 00.15
9,,,3600
10, 238, 1639, 00.05
10, 2, 331, 00.01
10, 1080, 11734, 00.36
10, 1596, 17922, 00.53
10,,,3600
10, 229, 2136, 00.09
10,,,3600
10,,,3600
10,,,3600
10,,,3600
10, 2081, 17943, 00.56
10, 428, 6680, 00.19
10, 376, 5009, 00.14
10, 946, 7031, 00.23
10,,,3600
10, 2638, 25548, 00.78
10, 1827, 19596, 00.58
10, 1651, 17374, 00.51
10, 1403, 17566, 00.54
10, 40, 539, 00.01
10,,,3600
10, 1894, 20571, 00.61
10,,,3600
10, 1035, 8717, 00.28
10, 1771, 16204, 00.49
10, 81, 1315, 00.05
10, 1181, 9201, 00.29
10,,,3600
10, 238, 4396, 00.14
10, 378, 4827, 00.16
11, 2309, 24022, 00.67
11, 1663, 22514, 00.64
11,,,3600
11,,,3600
11, 206, 1720, 00.05
11,,,3600
11, 1215, 13930, 00.43
11,,,3600
11,,,3600
11,,,3600
11,,,3600
11, 1200, 11635, 00.34
11,,,3600
11, 835, 9234, 00.27
11,,,3600
11,,,3600
11,,,3600
11,,,3600
11,,,3600
11,,,3600
11,,,3600
11,,,3600
11,,,3600
11,,,3600
11,,,3600
11,,,3600
11, 3418, 37373, 01.10
11,,,3600
11, 1385, 15400, 00.45
11,,,3600
12,,,3600
12,,,3600
12, 2512, 24371, 00.72
12,,,3600
12,,,3600
12, 117, 1822, 00.05
12, 1668, 13382, 00.41
12, 1316, 16387, 00.47
12,,,3600
12, 1514, 15863, 00.47
12, 960, 14005, 00.42
12, 1788, 20264, 00.61
12,,,3600
12, 123, 3797, 00.12
12,,,3600
12, 1248, 14883, 00.44
12,,,3600
12, 452, 8166, 00.23
12,,,3600
12, 1139, 10893, 00.32
12,,,3600
12, 3745, 32976, 01.00
12,,,3600
12,,,3600
12, 338, 7382, 00.24
12,,,3600
12, 2368, 27616, 00.80
12, 2692, 22609, 00.66
12,,,3600
12, 2765, 28223, 00.83
13, 647, 8885, 00.25
13,,,3600
13, 2668, 19122, 00.59
13, 1279, 17678, 00.52
13, 1156, 10625, 00.32
13, 593, 7369, 00.23
13, 3, 364, 00.01
13, 1213, 9334, 00.31
13, 432, 6248, 00.18
13, 240, 4721, 00.16
13, 2027, 19737, 00.61
13, 940, 10849, 00.34
13, 2130, 23018, 00.69
13, 396, 2923, 00.09
13, 503, 4121, 00.14
13, 660, 8034, 00.24
13, 36, 818, 00.02
13, 1571, 15463, 00.47
13, 1163, 12976, 00.39
13, 486, 5406, 00.16
13, 1362, 18612, 00.55
13, 1643, 21419, 00.61
13, 9, 57, 00.00
13, 805, 8006, 00.24
13, 1108, 6622, 00.21
13, 616, 5836, 00.19
13, 1455, 14968, 00.45
13, 648, 5823, 00.18
13,,,3600
13, 232, 2359, 00.07
14, 730, 10237, 00.31
14, 1966, 17153, 00.53
14, 1189, 12872, 00.37
14, 3960, 32667, 01.02
14, 2028, 20104, 00.62
14, 1160, 12144, 00.36
14, 2966, 32067, 00.94
14, 3008, 29567, 00.93
14, 2986, 29548, 00.89
14, 2985, 29906, 00.90
14, 384, 3539, 00.12
14,,,3600
14, 1772, 15315, 00.46
14, 2308, 26019, 00.77
14, 2643, 23690, 00.74
14, 2274, 26709, 00.77
14,,,3600
14, 2568, 28040, 00.86
14, 2056, 21064, 00.64
14, 2019, 26194, 00.77
14,,,3600
14, 1675, 18572, 00.56
14, 2281, 22387, 00.69
14, 2215, 23351, 00.71
14, 1681, 20476, 00.61
14, 1579, 25010, 00.72
14,,,3600
14, 1964, 17030, 00.52
14, 1608, 14115, 00.42
14, 2945, 27798, 00.84
15, 2336, 29353, 00.86
15, 2461, 27576, 00.82
15, 1525, 16745, 00.50
15, 2903, 29856, 00.91
15, 2466, 23145, 00.70
15, 2243, 24514, 00.73
15, 2460, 20989, 00.65
15, 1900, 18515, 00.57
15, 2027, 22045, 00.68
15, 3248, 33828, 01.03
15, 2310, 21678, 00.65
15, 902, 10880, 00.34
15, 2288, 24917, 00.74
15, 3720, 39248, 01.21
15, 1067, 10714, 00.33
15, 2474, 29117, 00.89
15, 2099, 20721, 00.64
15, 2086, 22498, 00.67
15, 2431, 27047, 00.81
15, 955, 13919, 00.41
15, 2909, 30107, 00.91
15, 1758, 19726, 00.59
15, 2469, 24422, 00.74
15, 2616, 24300, 00.73
15, 1764, 21302, 00.63
15, 2674, 28031, 00.86
15, 975, 11581, 00.36
15, 1780, 21292, 00.65
15, 2267, 19993, 00.61
15, 2825, 25654, 00.80
16, 2357, 21669, 00.68
16, 3197, 29023, 00.88
16, 2412, 21660, 00.66
16, 2520, 24719, 00.76
16, 1906, 24401, 00.72
16, 1208, 13011, 00.39
16, 2280, 22631, 00.68
16, 2777, 31049, 00.92
16, 2035, 17672, 00.56
16, 3324, 31522, 00.96
16, 4309, 42908, 01.32
16, 2599, 25862, 00.78
16, 1310, 15350, 00.45
16, 1616, 15596, 00.48
16, 4258, 37400, 01.16
16, 1829, 26357, 00.77
16, 1726, 17352, 00.52
16, 2437, 28089, 00.87
16, 491, 6308, 00.20
16, 2986, 27232, 00.85
16, 3990, 35887, 01.10
16, 4280, 42152, 01.29
16, 3657, 36801, 01.14
16, 4943, 43726, 01.35
16, 1218, 15147, 00.45
16, 2391, 22369, 00.68
16, 1395, 15504, 00.46
16, 2232, 25006, 00.75
16, 2749, 31034, 00.95
16, 3308, 30293, 00.92
17,,,3600
17,,,3600
17,,,3600
17, 3290, 34936, 01.04
17, 2336, 27216, 00.82
17, 1780, 25447, 00.74
17,,,3600
17,,,3600
17,,,3600
17, 907, 13738, 00.39
17, 415, 4417, 00.13
17,,,3600
17,,,3600
17,,,3600
17,,,3600
17,,,3600
17,,,3600
17, 1423, 18319, 00.52
17,,,3600
17,,,3600
17,,,3600
17, 2586, 29145, 00.87
17,,,3600
17,,,3600
17,,,3600
17,,,3600
17,,,3600
17,,,3600
17,,,3600
17, 2235, 25559, 00.77
18, 1345, 11712, 00.37
18, 1647, 11536, 00.35
18,,,3600
18, 763, 9457, 00.29
18, 1246, 14182, 00.42
18,,,3600
18, 2639, 25798, 00.75
18, 1176, 14431, 00.42
18,,,3600
18,,,3600
18, 2280, 23957, 00.72
18,,,3600
18,,,3600
18, 93, 1577, 00.04
18,,,3600
18,,,3600
18, 1340, 17247, 00.51
18, 1942, 27524, 00.78
18, 1633, 18385, 00.58
18,,,3600
18,,,3600
18,,,3600
18, 1989, 24534, 00.74
18,,,3600
18,,,3600
18, 1429, 10764, 00.34
18,,,3600
18, 2318, 18812, 00.58
18, 2775, 25053, 00.74
18,,,3600
19, 1520, 24545, 00.71
19, 3365, 25750, 00.81
19, 624, 8197, 00.23
19, 934, 12128, 00.36
19, 2918, 28559, 00.88
19, 2400, 21784, 00.65
19, 2165, 21356, 00.63
19, 2428, 24911, 00.75
19, 1126, 16929, 00.49
19, 672, 3718, 00.13
19, 24, 498, 00.01
19, 2356, 25290, 00.76
19, 2183, 24351, 00.71
19, 386, 4743, 00.14
19, 1691, 18064, 00.52
19,,,3600
19, 1061, 11935, 00.37
19,,,3600
19,,,3600
19, 464, 8012, 00.23
19, 1250, 15056, 00.46
19, 1424, 15570, 00.47
19,,,3600
19, 717, 4646, 00.15
19, 2642, 24938, 00.77
19, 1805, 17416, 00.52
19, 2987, 28495, 00.87
19, 1484, 17998, 00.53
19, 1604, 18537, 00.55
19, 2054, 25253, 00.75
